response_id,department,tenure,level,submission_date,Engagement_Q1,Engagement_Q2,Engagement_Q3,Satisfaction_Q1,Satisfaction_Q2,Satisfaction_Q3,Leadership_Q1,Leadership_Q2,Leadership_Q3,Growth_Q1,Growth_Q2,Growth_Q3,Culture_Q1,Culture_Q2,Culture_Q3,Wellbeing_Q1,Wellbeing_Q2,Wellbeing_Q3
R2025-0030,Sales,<1 year,Director,2025-01-12,2,3,3,2,2,3,3,3,3,2,2,3,3,3,3,2,3,2
R2025-0031,Marketing,1-2 years,Director,2025-01-09,3,5,5,3,4,5,3,4,3,2,5,3,4,5,3,4,3,3
R2025-0032,Engineering,3-5 years,Director,2025-01-08,3,3,4,4,3,4,2,5,3,5,4,4,3,4,4,3,4,2
R2025-0033,Engineering,10+ years,Individual Contributor,2025-01-14,4,3,4,3,3,3,2,4,4,3,3,3,4,2,4,4,3,3
R2025-0034,Sales,3-5 years,Individual Contributor,2025-01-06,2,4,3,3,3,4,3,3,3,4,3,2,4,3,4,3,3,3
R2025-0035,Sales,<1 year,Individual Contributor,2025-01-18,3,5,3,3,4,4,2,1,2,3,3,3,3,4,3,3,4,3
R2025-0036,Customer Support,3-5 years,Individual Contributor,2025-01-18,3,3,4,3,2,3,3,2,2,2,2,3,3,4,3,1,2,4
R2025-0037,Finance,3-5 years,Senior IC,2025-01-19,4,3,4,4,4,4,4,2,5,3,3,3,3,4,3,3,4,3
R2025-0038,Sales,10+ years,Senior IC,2025-01-20,3,3,4,3,3,4,2,2,5,4,4,3,5,5,2,3,2,3
R2025-0039,Operations,10+ years,Individual Contributor,2025-01-13,2,3,4,3,4,2,2,4,1,4,1,3,3,4,1,1,2,3
R2025-0040,Product,3-5 years,Individual Contributor,2025-01-14,4,3,5,3,4,3,2,4,3,4,2,4,2,5,4,2,4,5
R2025-0041,Sales,3-5 years,Manager,2025-01-11,4,2,2,3,2,3,2,3,3,4,4,3,3,2,4,2,3,2
R2025-0042,Finance,3-5 years,VP+,2025-01-13,4,3,5,4,5,2,3,2,4,4,4,3,3,2,5,4,3,4
R2025-0043,Sales,1-2 years,Senior IC,2025-01-15,3,3,4,4,2,4,2,3,3,4,2,3,4,3,3,4,5,4
R2025-0044,Customer Support,1-2 years,Senior IC,2025-01-17,3,5,3,4,2,3,2,2,3,3,4,3,3,4,3,1,4,3
R2025-0045,Operations,5-10 years,Individual Contributor,2025-01-18,4,2,3,4,2,2,2,2,3,2,4,2,3,4,2,2,3,3
R2025-0046,IT,1-2 years,Individual Contributor,2025-01-08,4,2,3,4,3,4,5,2,4,3,4,2,3,4,4,2,2,2
R2025-0047,HR,10+ years,VP+,2025-01-14,3,5,5,3,2,4,3,2,4,2,4,4,5,4,2,3,3,3
R2025-0048,Operations,10+ years,Individual Contributor,2025-01-16,3,3,4,3,3,3,3,2,2,3,3,1,2,4,4,3,4,3
R2025-0049,Operations,10+ years,Individual Contributor,2025-01-06,3,3,3,3,2,5,2,4,3,3,3,5,5,3,4,3,1,1
R2025-0050,Engineering,5-10 years,Individual Contributor,2025-01-08,4,3,4,3,2,3,3,5,4,2,3,5,5,4,4,3,4,3
R2025-0051,HR,5-10 years,Individual Contributor,2025-01-15,3,4,5,4,2,3,2,3,3,3,1,3,5,4,4,2,1,4
R2025-0052,Engineering,10+ years,VP+,2025-01-12,3,4,4,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3
R2025-0053,Customer Support,3-5 years,VP+,2025-01-14,3,3,3,3,2,4,2,3,2,3,2,3,4,3,3,2,4,3
R2025-0054,Sales,3-5 years,Manager,2025-01-14,2,3,2,4,4,3,3,3,3,4,4,4,4,4,4,2,3,3
R2025-0055,Marketing,3-5 years,VP+,2025-01-12,5,2,4,2,3,3,4,2,3,4,3,3,4,4,5,2,3,3
R2025-0056,Customer Support,10+ years,Individual Contributor,2025-01-17,2,3,3,3,3,4,4,2,3,2,3,3,4,4,2,3,2,3
R2025-0057,Product,<1 year,Senior IC,2025-01-07,3,5,3,4,4,4,3,3,3,4,4,4,4,4,4,3,2,4
R2025-0058,Product,3-5 years,Director,2025-01-18,3,4,4,3,3,4,3,4,2,4,3,4,4,4,5,3,3,3
R2025-0059,Operations,5-10 years,Individual Contributor,2025-01-12,2,3,3,3,3,4,3,4,3,4,4,2,3,2,4,2,3,3
R2025-0060,Customer Support,<1 year,VP+,2025-01-16,5,4,2,2,2,2,2,1,1,1,2,5,3,4,2,3,3,2
R2025-0061,HR,3-5 years,Individual Contributor,2025-01-13,3,4,4,3,4,2,2,2,2,4,4,2,2,4,3,3,3,3
R2025-0062,Engineering,3-5 years,VP+,2025-01-20,5,2,5,4,5,4,4,3,3,3,4,3,4,3,5,4,3,4
R2025-0063,Product,3-5 years,Individual Contributor,2025-01-10,4,3,5,3,3,4,4,4,4,3,3,4,5,4,3,4,4,2
R2025-0064,IT,10+ years,Manager,2025-01-07,3,3,3,4,3,4,4,3,3,4,4,4,5,4,4,2,4,3
R2025-0065,Customer Support,<1 year,Senior IC,2025-01-08,4,4,3,1,3,4,2,3,3,4,3,4,2,4,3,4,1,3
R2025-0066,HR,3-5 years,Manager,2025-01-13,3,4,3,4,5,3,3,3,3,4,4,3,5,5,4,3,3,3
R2025-0067,Product,<1 year,Senior IC,2025-01-07,4,4,3,4,4,4,3,3,4,3,5,4,5,3,4,3,3,5
R2025-0068,IT,5-10 years,VP+,2025-01-17,2,4,4,3,3,4,4,2,2,4,3,4,4,5,3,3,3,2
R2025-0069,Product,<1 year,Manager,2025-01-15,4,4,3,4,4,4,3,3,3,3,2,3,5,4,3,4,2,2
R2025-0070,Marketing,3-5 years,Individual Contributor,2025-01-18,4,4,3,3,2,3,4,4,2,4,4,2,5,4,4,4,3,1
R2025-0071,Engineering,1-2 years,Individual Contributor,2025-01-18,4,4,5,3,5,4,3,5,4,4,4,2,4,4,3,5,3,2
R2025-0072,HR,1-2 years,Individual Contributor,2025-01-13,3,3,4,3,4,4,1,4,3,4,4,4,4,5,4,3,2,4
R2025-0073,IT,5-10 years,Individual Contributor,2025-01-15,4,3,5,3,4,4,2,4,2,1,4,4,4,3,5,4,2,4
R2025-0074,Customer Support,<1 year,Individual Contributor,2025-01-16,2,3,3,3,3,3,2,3,3,3,3,4,4,3,3,1,3,4
R2025-0075,IT,10+ years,Senior IC,2025-01-09,5,4,2,4,3,3,2,1,3,4,4,3,5,3,3,1,2,2
R2025-0076,Product,1-2 years,Individual Contributor,2025-01-18,5,5,5,4,3,5,2,3,4,4,5,3,3,4,4,3,4,3
R2025-0077,Operations,3-5 years,Manager,2025-01-11,4,4,2,3,3,3,1,3,3,2,3,3,4,3,4,2,3,3
R2025-0078,Sales,3-5 years,Manager,2025-01-10,4,4,2,3,4,5,3,4,3,2,4,2,4,3,5,3,2,2
R2025-0079,Customer Support,1-2 years,Director,2025-01-06,2,3,3,5,1,3,2,2,3,3,2,3,4,4,3,4,3,1
R2025-0080,HR,<1 year,Individual Contributor,2025-01-14,3,3,3,4,3,4,3,4,3,3,4,3,3,5,3,4,2,3
R2025-0081,Operations,5-10 years,Senior IC,2025-01-06,4,4,3,3,3,3,2,4,3,2,3,3,4,4,3,4,3,3
R2025-0082,Engineering,3-5 years,Individual Contributor,2025-01-11,4,4,2,4,3,5,3,3,4,3,4,3,5,3,4,4,3,3
R2025-0083,Sales,3-5 years,VP+,2025-01-13,3,3,4,3,4,3,2,3,3,2,2,3,2,4,3,3,3,3
R2025-0084,Operations,3-5 years,VP+,2025-01-20,3,2,4,3,4,3,3,2,3,2,3,4,2,2,4,4,5,3
R2025-0085,Engineering,<1 year,Senior IC,2025-01-11,3,4,4,5,3,3,4,2,3,3,1,2,3,4,5,3,2,3
R2025-0086,Legal,5-10 years,Director,2025-01-16,3,3,3,3,3,4,3,5,3,4,4,5,3,4,5,3,3,4
R2025-0087,Legal,3-5 years,Senior IC,2025-01-19,3,5,4,4,4,3,4,3,3,3,4,3,3,4,5,4,3,3
R2025-0088,Product,1-2 years,Individual Contributor,2025-01-06,4,4,3,4,5,5,4,3,2,2,2,4,4,3,4,4,3,2
R2025-0089,Marketing,3-5 years,Director,2025-01-19,5,3,4,5,4,5,4,3,1,3,5,3,4,4,3,3,4,3
R2025-0090,Customer Support,3-5 years,Senior IC,2025-01-20,5,3,3,3,3,3,2,3,3,4,3,2,3,3,4,1,3,2
R2025-0091,Engineering,1-2 years,Individual Contributor,2025-01-08,5,4,4,4,3,4,3,4,2,3,3,4,4,5,4,4,3,2
R2025-0092,IT,5-10 years,Director,2025-01-07,2,2,3,4,4,3,1,4,2,4,4,2,4,2,4,2,2,2
R2025-0093,Product,1-2 years,Director,2025-01-11,5,4,5,4,2,3,4,4,3,3,4,4,5,4,4,2,2,3
R2025-0094,Engineering,3-5 years,Director,2025-01-18,4,4,4,4,4,4,2,4,3,3,5,2,3,4,4,4,3,2
R2025-0095,Operations,1-2 years,Senior IC,2025-01-13,4,2,2,4,2,2,2,2,3,4,2,3,3,3,4,3,2,2
R2025-0096,Product,1-2 years,Individual Contributor,2025-01-09,3,4,4,5,4,3,3,2,5,3,3,4,3,3,3,2,3,4
R2025-0097,Operations,1-2 years,Individual Contributor,2025-01-18,3,3,3,3,4,2,2,4,2,2,3,3,3,3,3,3,4,2
R2025-0098,Sales,3-5 years,Senior IC,2025-01-14,1,3,4,3,3,2,2,3,2,4,1,3,3,5,4,1,1,2
R2025-0099,Product,3-5 years,Senior IC,2025-01-09,4,4,4,4,3,4,3,3,2,4,4,3,4,3,4,3,4,5
R2025-0100,Finance,10+ years,Individual Contributor,2025-01-09,5,3,5,5,3,3,3,3,4,3,3,2,3,4,4,4,3,3
R2025-0101,IT,3-5 years,VP+,2025-01-11,4,3,3,4,3,4,3,5,2,3,4,4,2,5,2,3,3,2
R2025-0102,Operations,10+ years,Director,2025-01-17,3,3,3,3,3,2,4,2,3,3,4,3,5,3,3,2,3,2
R2025-0103,IT,<1 year,Individual Contributor,2025-01-14,3,3,2,2,4,3,4,3,3,3,3,2,3,5,3,2,3,3
R2025-0104,Engineering,3-5 years,Individual Contributor,2025-01-09,3,3,3,5,5,5,3,3,3,3,4,3,5,4,5,4,3,4
R2025-0105,Customer Support,<1 year,Individual Contributor,2025-01-07,2,3,3,2,3,3,2,3,3,4,3,2,4,3,5,2,3,3
R2025-0106,Finance,<1 year,Individual Contributor,2025-01-15,4,5,4,2,3,4,2,2,3,2,2,4,4,3,5,4,3,3
R2025-0107,Marketing,5-10 years,Individual Contributor,2025-01-15,4,2,3,4,4,4,4,3,2,5,2,4,4,4,3,2,3,3
R2025-0108,Sales,1-2 years,VP+,2025-01-16,4,4,3,3,4,3,3,2,4,3,2,3,4,4,2,3,3,1
R2025-0109,Engineering,1-2 years,Senior IC,2025-01-18,5,5,5,2,3,3,3,4,3,4,4,4,3,4,5,4,3,5
R2025-0110,Customer Support,3-5 years,Senior IC,2025-01-07,3,3,2,4,2,4,2,3,3,2,2,2,2,3,3,3,2,3
R2025-0111,IT,3-5 years,Senior IC,2025-01-15,4,3,3,5,2,5,4,5,3,4,4,3,4,3,4,2,4,4
R2025-0112,Operations,3-5 years,Individual Contributor,2025-01-16,3,4,4,4,2,4,2,2,1,3,3,2,5,4,3,1,1,2
R2025-0113,Engineering,5-10 years,Director,2025-01-16,3,5,5,4,3,3,3,1,3,4,3,4,3,4,3,3,2,4
R2025-0114,Customer Support,3-5 years,Individual Contributor,2025-01-11,4,3,3,5,4,4,3,2,2,4,2,3,4,4,3,3,4,3
R2025-0115,Engineering,5-10 years,Director,2025-01-07,4,3,4,4,4,4,1,3,3,4,4,5,4,4,4,3,3,3
R2025-0116,IT,1-2 years,Individual Contributor,2025-01-18,3,2,2,3,2,3,3,3,2,2,4,3,3,4,4,3,3,3
R2025-0117,Legal,3-5 years,Individual Contributor,2025-01-20,3,3,4,4,3,4,3,2,3,4,3,4,3,3,2,1,2,3
R2025-0118,Sales,<1 year,VP+,2025-01-13,2,2,4,3,3,4,2,2,2,4,3,2,4,4,4,2,3,3
R2025-0119,Finance,<1 year,Senior IC,2025-01-15,3,2,3,3,4,4,3,2,3,3,3,2,4,4,4,2,2,5
R2025-0120,Operations,1-2 years,VP+,2025-01-19,5,4,4,4,3,4,2,1,2,2,2,2,4,2,3,2,2,3
R2025-0121,IT,1-2 years,Manager,2025-01-10,4,3,5,2,4,4,3,3,3,4,3,3,4,4,4,5,3,3
R2025-0122,Customer Support,1-2 years,Senior IC,2025-01-12,2,3,3,3,2,3,3,2,3,3,4,3,3,2,2,3,3,3
R2025-0123,Product,1-2 years,Senior IC,2025-01-19,4,4,4,3,3,3,2,3,3,3,5,4,4,4,4,3,5,3
R2025-0124,Sales,10+ years,Individual Contributor,2025-01-20,3,3,4,3,3,3,2,4,3,4,3,4,4,5,3,3,2,3
R2025-0125,Marketing,3-5 years,Senior IC,2025-01-06,4,4,5,4,3,3,3,3,3,3,3,4,3,5,5,2,3,3
R2025-0126,Customer Support,<1 year,Director,2025-01-08,2,4,3,3,2,4,3,2,4,4,2,2,4,3,4,3,4,3
R2025-0127,Customer Support,3-5 years,Individual Contributor,2025-01-18,3,3,4,2,3,4,3,3,2,2,3,2,3,4,3,2,3,3
R2025-0128,HR,10+ years,Individual Contributor,2025-01-12,4,3,3,4,4,1,3,3,4,4,4,3,4,3,3,3,2,4
R2025-0129,Engineering,3-5 years,Manager,2025-01-15,4,4,5,4,4,4,3,4,3,2,3,3,2,5,4,4,4,3
R2025-0130,Customer Support,3-5 years,Individual Contributor,2025-01-16,3,2,4,4,3,2,4,2,3,2,3,3,3,3,4,2,4,3
R2025-0131,Marketing,3-5 years,Individual Contributor,2025-01-17,5,3,3,3,5,4,3,4,3,2,3,3,4,4,4,3,4,3
R2025-0132,Sales,<1 year,VP+,2025-01-06,2,3,3,2,3,4,3,2,3,3,1,3,4,5,5,3,4,3
R2025-0133,Finance,5-10 years,Individual Contributor,2025-01-11,4,4,3,4,4,2,3,4,5,3,3,2,2,3,5,5,4,3
R2025-0134,Customer Support,5-10 years,Individual Contributor,2025-01-11,4,3,4,2,4,3,3,4,5,4,3,2,5,2,2,3,1,4
R2025-0135,Engineering,3-5 years,Manager,2025-01-08,3,3,4,3,3,3,3,5,4,3,4,3,3,4,4,3,3,3
R2025-0136,Engineering,<1 year,Senior IC,2025-01-11,3,4,4,3,3,4,4,4,3,2,3,3,4,3,5,4,3,4
R2025-0137,Legal,1-2 years,VP+,2025-01-08,4,4,2,4,3,4,3,3,5,3,4,3,4,3,3,2,3,3
R2025-0138,Engineering,<1 year,Individual Contributor,2025-01-09,5,3,5,5,4,3,4,4,4,4,4,3,5,4,4,4,4,4
R2025-0139,Sales,<1 year,Manager,2025-01-15,3,4,2,4,4,3,3,3,4,2,2,2,4,1,4,2,2,3
R2025-0140,Customer Support,3-5 years,Senior IC,2025-01-10,3,4,3,5,3,3,4,3,3,1,3,3,3,3,4,1,5,4
R2025-0141,Marketing,3-5 years,VP+,2025-01-12,3,5,4,3,2,3,3,1,4,4,4,3,3,4,5,3,3,3
R2025-0142,Operations,<1 year,Individual Contributor,2025-01-09,3,3,2,3,2,2,2,3,3,1,3,3,3,3,4,3,3,3
R2025-0143,IT,10+ years,Senior IC,2025-01-15,4,4,4,4,5,3,4,3,4,5,2,1,4,3,3,3,3,4
R2025-0144,Sales,<1 year,Individual Contributor,2025-01-17,4,3,5,3,4,3,5,2,3,4,3,3,3,3,4,3,3,3
R2025-0145,IT,3-5 years,Director,2025-01-20,3,4,4,4,2,4,3,3,2,3,4,4,4,3,3,4,3,2
R2025-0146,Legal,1-2 years,Senior IC,2025-01-07,4,3,4,3,4,4,3,3,5,4,4,3,5,4,4,2,3,2
R2025-0147,Operations,<1 year,Individual Contributor,2025-01-11,3,4,3,2,3,2,3,3,4,3,3,3,3,4,3,4,2,2
R2025-0148,Engineering,1-2 years,Director,2025-01-10,5,4,5,5,2,4,3,4,3,4,3,4,5,4,4,5,3,3
R2025-0149,IT,3-5 years,Individual Contributor,2025-01-16,3,4,4,3,2,3,3,2,1,3,1,3,3,4,5,2,1,3
R2025-0150,Customer Support,3-5 years,Manager,2025-01-08,4,4,4,5,4,3,3,3,3,3,4,3,4,3,5,2,3,3
R2025-0151,HR,3-5 years,VP+,2025-01-10,2,3,5,3,2,3,3,3,2,3,4,3,5,5,4,2,4,2
R2025-0152,Marketing,1-2 years,Senior IC,2025-01-15,3,3,4,4,2,3,5,4,3,4,3,1,4,4,4,3,3,4
R2025-0153,IT,3-5 years,VP+,2025-01-09,5,5,2,4,3,4,3,2,3,5,3,2,5,3,3,3,3,4
R2025-0154,Sales,5-10 years,Manager,2025-01-20,3,3,4,3,3,3,4,3,3,4,2,3,5,3,4,4,1,4
R2025-0155,Operations,3-5 years,Individual Contributor,2025-01-11,4,5,3,2,3,4,3,4,4,3,2,2,3,4,5,3,3,3
R2025-0156,Sales,3-5 years,Manager,2025-01-18,4,3,4,2,4,3,2,3,2,3,2,3,4,3,4,3,2,2
R2025-0157,HR,3-5 years,Manager,2025-01-15,3,5,3,3,3,4,3,4,4,3,4,4,4,4,5,2,3,4
R2025-0158,Sales,3-5 years,Director,2025-01-13,4,3,3,3,4,3,2,3,3,2,2,3,4,3,2,3,4,2
R2025-0159,Sales,1-2 years,Senior IC,2025-01-08,3,2,2,2,5,3,2,2,3,5,2,4,3,4,3,3,4,3
R2025-0160,Customer Support,10+ years,Individual Contributor,2025-01-13,4,2,4,2,3,3,3,2,3,4,1,2,3,3,3,1,2,3
R2025-0161,Sales,1-2 years,Individual Contributor,2025-01-06,3,3,3,2,4,4,3,2,2,3,2,3,4,4,3,1,4,2
R2025-0162,Product,<1 year,Director,2025-01-06,3,3,3,3,4,4,3,3,4,3,3,5,3,3,5,2,2,5
R2025-0163,HR,5-10 years,Individual Contributor,2025-01-20,4,3,4,5,4,4,3,3,2,4,5,4,4,5,5,4,3,2
R2025-0164,Engineering,<1 year,Individual Contributor,2025-01-12,3,4,4,5,4,5,4,3,4,4,3,3,3,5,3,3,3,5
R2025-0165,Operations,<1 year,Individual Contributor,2025-01-18,3,4,4,4,3,3,2,3,3,3,4,3,5,3,3,2,4,3
R2025-0166,IT,3-5 years,Individual Contributor,2025-01-16,4,5,3,4,4,3,4,3,3,2,3,3,4,3,4,2,3,4
R2025-0167,Operations,10+ years,Individual Contributor,2025-01-20,3,2,3,3,2,4,3,2,2,3,3,3,4,4,5,3,4,4
R2025-0168,Operations,5-10 years,Director,2025-01-13,4,4,3,3,2,2,3,3,3,3,3,3,3,4,3,2,3,2
R2025-0169,Customer Support,1-2 years,Director,2025-01-19,3,4,3,3,3,2,2,4,1,4,1,2,4,4,4,4,4,1
R2025-0170,Engineering,5-10 years,Individual Contributor,2025-01-09,3,4,3,4,3,5,4,4,3,3,3,4,5,4,5,3,4,4
R2025-0171,Engineering,5-10 years,Manager,2025-01-16,3,5,4,5,4,3,4,3,2,4,3,3,3,3,5,4,4,4
R2025-0172,Customer Support,10+ years,Individual Contributor,2025-01-14,2,3,4,3,4,4,3,2,2,2,4,2,2,4,3,2,1,4
R2025-0173,Legal,3-5 years,VP+,2025-01-20,2,4,4,3,2,3,5,4,4,3,1,3,4,5,4,3,2,4
R2025-0174,Finance,3-5 years,Senior IC,2025-01-12,5,3,4,3,5,3,3,3,2,4,3,3,3,2,3,1,3,3
R2025-0175,Customer Support,3-5 years,Director,2025-01-11,3,3,3,1,3,4,2,2,3,2,1,2,3,2,4,2,3,2
R2025-0176,Engineering,3-5 years,Individual Contributor,2025-01-12,5,5,4,5,4,4,3,5,3,3,4,3,4,4,5,2,4,2
R2025-0177,Product,1-2 years,Manager,2025-01-18,4,3,4,3,3,4,3,2,3,3,3,3,5,3,3,4,2,2
R2025-0178,HR,5-10 years,Manager,2025-01-17,2,3,4,3,4,4,3,4,2,3,2,4,5,5,4,4,3,3
R2025-0179,Sales,10+ years,Manager,2025-01-06,3,2,4,3,3,2,4,3,1,3,2,3,4,4,3,3,4,2
R2025-0180,Finance,1-2 years,Individual Contributor,2025-01-18,3,3,2,3,3,3,3,3,2,2,3,3,4,3,4,3,3,4
R2025-0181,Engineering,10+ years,VP+,2025-01-18,3,5,4,4,4,3,1,3,4,5,3,3,5,4,4,2,3,4
R2025-0182,Product,5-10 years,Director,2025-01-18,2,4,5,4,5,4,4,3,3,4,5,4,5,3,3,4,3,4
R2025-0183,Engineering,3-5 years,Director,2025-01-17,3,3,3,3,5,4,4,4,3,4,4,3,3,5,3,4,4,4
R2025-0184,Product,1-2 years,Director,2025-01-08,3,5,5,3,2,2,5,3,3,4,3,3,4,4,4,5,3,3
R2025-0185,Customer Support,5-10 years,Individual Contributor,2025-01-08,4,4,3,3,2,2,4,3,4,3,3,3,3,3,4,4,3,2
R2025-0186,Legal,3-5 years,Individual Contributor,2025-01-10,2,2,3,4,3,3,2,3,3,4,3,3,4,4,4,2,3,3
R2025-0187,IT,1-2 years,Senior IC,2025-01-13,2,4,3,3,3,3,3,4,3,3,3,2,3,2,4,2,3,2
R2025-0188,Customer Support,1-2 years,Individual Contributor,2025-01-14,3,5,2,3,3,4,3,2,3,2,2,3,3,3,3,5,4,3
R2025-0189,Product,<1 year,Individual Contributor,2025-01-08,3,3,4,3,3,2,5,4,3,4,4,5,2,4,3,4,3,3
R2025-0190,Customer Support,1-2 years,Director,2025-01-14,3,3,3,2,2,3,2,3,3,3,3,5,3,4,4,2,3,1
R2025-0191,Engineering,3-5 years,Individual Contributor,2025-01-13,4,4,3,3,4,4,3,3,3,5,3,3,3,4,5,5,4,3
R2025-0192,Customer Support,3-5 years,Individual Contributor,2025-01-16,1,3,3,3,4,2,1,4,2,2,3,1,4,3,3,2,2,3
R2025-0193,Operations,3-5 years,VP+,2025-01-15,3,3,3,2,3,2,2,3,3,4,3,3,4,3,3,3,4,3
R2025-0194,Customer Support,3-5 years,VP+,2025-01-14,3,3,3,3,2,2,4,2,2,2,3,3,3,3,4,1,2,3
R2025-0195,IT,10+ years,VP+,2025-01-17,3,3,3,5,3,3,2,2,3,3,3,3,3,3,3,3,3,2
R2025-0196,Engineering,<1 year,Director,2025-01-15,4,5,3,4,3,5,3,2,3,3,3,4,4,5,3,4,3,2
R2025-0197,Legal,<1 year,Individual Contributor,2025-01-13,4,2,4,4,4,2,2,2,4,4,2,2,4,3,4,3,3,4
R2025-0198,Customer Support,<1 year,Senior IC,2025-01-20,4,3,2,3,1,2,3,2,2,3,2,2,3,4,3,2,3,3
R2025-0199,Engineering,1-2 years,Director,2025-01-06,4,4,4,4,3,3,3,3,3,2,2,3,3,4,3,5,4,5
R2025-0200,Operations,10+ years,Manager,2025-01-06,3,4,3,3,2,5,3,1,4,2,2,2,4,3,4,1,4,3
R2025-0201,Operations,5-10 years,VP+,2025-01-06,3,3,2,4,3,4,3,2,2,4,3,2,3,4,3,2,2,3
R2025-0202,Finance,1-2 years,Manager,2025-01-10,4,5,4,3,3,3,3,4,3,5,4,3,4,3,5,4,3,3
R2025-0203,Product,10+ years,VP+,2025-01-13,3,4,5,3,3,3,4,4,2,3,3,3,3,4,4,3,2,5
R2025-0204,Sales,3-5 years,Individual Contributor,2025-01-17,3,3,4,3,3,3,2,4,3,4,3,5,3,4,3,3,3,2
R2025-0205,HR,1-2 years,Individual Contributor,2025-01-15,4,4,4,4,3,4,2,3,4,5,4,4,4,5,5,3,2,3
R2025-0206,Operations,1-2 years,Manager,2025-01-19,2,3,3,3,3,2,2,2,2,4,1,2,3,4,5,4,3,3
R2025-0207,Customer Support,3-5 years,Manager,2025-01-08,4,3,3,4,3,2,4,3,1,3,4,2,4,3,3,2,3,3
